T[K],313,313,313,313,303,303,303,303,303,303,313,313,303
P[MPa],10,12,16,20,10,12,16,20,10,20,12,16,20
F[kg/s]e-5,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,3.33,3.33,3.33,3.33,1.67
t,yield,yield,yield,yield,yield,yield,yield,yield,,,,,yield
30,0.319,0.559,0.827,1.092,0.598,0.650,0.724,0.935,,,,,0.237302248
60,0.555,1.080,1.531,2.027,0.994,1.064,1.337,1.733,,,,,0.494587843
90,0.832,1.440,1.854,2.586,1.300,1.463,1.742,2.125,,,,,0.74937552
120,1.043,1.738,2.102,3.016,1.545,1.745,2.171,2.493,,,,,0.994171524
150,1.242,2.036,2.268,3.273,1.763,2.012,2.478,2.708,,,,,1.251457119
180,1.362,2.210,2.408,3.517,1.953,2.149,2.705,2.910,,,,,1.416319734
240,1.532,2.570,2.765,3.782,2.287,2.468,2.996,3.192,,,,,1.636136553
300,1.710,2.798,2.988,3.915,2.532,2.670,3.244,3.440,,,,,1.845961699
360,1.793,2.910,3.195,4.101,2.658,2.860,3.425,3.606,,,,,2.058284763
420,1.864,3.002,3.274,4.155,2.762,3.001,3.565,3.700,,,,,2.233139051
480,1.939,3.081,3.416,4.325,2.878,3.126,3.688,3.804,,,,,2.363030808
540,2.030,3.147,3.511,4.334,3.006,3.224,3.767,3.841,,,,,2.492922565
600,2.093,3.197,3.627,4.339,3.120,3.325,3.807,3.887,,,,,2.635303913
,,,,,,,,,,,,,
,,,,,,,,,,,,,
t,mass,mass,mass,mass,mass,mass,mass,mass,mass,mass,mass,mass,mass
30,0.239,0.419,0.621,0.819,0.449,0.488,0.543,0.702,0.166,0.319,0.132,0.192,0.178
60,0.416,0.810,1.148,1.520,0.745,0.798,1.003,1.300,0.367,0.732,0.328,0.448,0.371
90,0.624,1.080,1.390,1.939,0.975,1.097,1.306,1.594,0.477,0.907,0.498,0.638,0.562
120,0.782,1.303,1.576,2.262,1.159,1.309,1.628,1.870,0.592,1.145,0.662,0.792,0.746
150,0.931,1.527,1.701,2.454,1.322,1.509,1.858,2.031,0.697,1.338,0.790,0.918,0.939
180,1.021,1.657,1.806,2.638,1.465,1.612,2.028,2.183,0.753,1.478,0.907,1.025,1.062
240,1.149,1.928,2.073,2.836,1.715,1.851,2.247,2.394,0.871,1.679,1.112,1.217,1.227
300,1.283,2.099,2.241,2.936,1.899,2.003,2.433,2.580,0.973,1.872,1.258,1.369,1.384
360,1.345,2.183,2.397,3.076,1.993,2.145,2.568,2.704,1.042,2.014,1.374,1.493,1.544
420,1.398,2.251,2.456,3.117,2.071,2.251,2.674,2.775,1.130,2.172,1.453,1.576,1.675
480,1.454,2.310,2.562,3.244,2.158,2.345,2.766,2.853,1.195,2.271,1.536,1.635,1.772
540,1.523,2.360,2.633,3.251,2.255,2.418,2.825,2.881,1.270,2.304,1.623,1.735,1.870
600,1.570,2.398,2.720,3.254,2.340,2.494,2.855,2.915,1.323,2.380,1.704,1.800,1.976
,,,,,,,,,,,,,
